parameter      mean           sddev          lower1         upper1         limit1 lower2         upper2         limit2 lower3         upper3         limit3 
omegabh2       2.2264376E-02  1.5568204E-04  2.2107290E-02  2.2419980E-02  two    2.1967470E-02  2.2575600E-02  two    2.1869950E-02  2.2672290E-02  two
omegach2       1.1971037E-01  1.4988114E-03  1.1823030E-01  1.2118350E-01  two    1.1673390E-01  1.2263280E-01  two    1.1582430E-01  1.2365760E-01  two
theta          1.0407954E+00  3.1777920E-04  1.0404780E+00  1.0411180E+00  two    1.0401620E+00  1.0414040E+00  two    1.0399970E+00  1.0416130E+00  two
tau            7.2669543E-02  1.7180609E-02  5.5521660E-02  8.9849010E-02  two    3.9355810E-02  1.0630090E-01  two    2.9714460E-02  1.1748720E-01  two
binw1         -1.3785624E+00  5.0972802E-01 -1.8938670E+00 -8.5990280E-01  two   -2.3995780E+00 -3.9000510E-01  two   -2.6880760E+00 -1.6288490E-01  two
binw2         -8.2944292E-01  1.1661299E-01 -9.4619490E-01 -7.1399630E-01  two   -1.0591440E+00 -6.0298380E-01  two   -1.1321200E+00 -5.3420750E-01  two
binw3         -1.4991289E+00  5.3100961E-01 -2.0005105E+00 -9.3973500E-01  two   -2.5507053E+00 -4.5892921E-01  two   -2.9541250E+00 -2.4058460E-01  two
binw4         -3.0084986E+00  1.2010055E+00 -5.0000000E+00 -2.3379800E+00  >     -5.0000000E+00 -1.0184600E+00  >     -5.0000000E+00 -6.1866490E-01  >  
logA           3.0800054E+00  3.3161163E-02  3.0470380E+00  3.1131500E+00  two    3.0151310E+00  3.1449310E+00  two    2.9943350E+00  3.1665610E+00  two
ns             9.6473155E-01  4.8350198E-03  9.5991340E-01  9.6953650E-01  two    9.5539760E-01  9.7405860E-01  two    9.5254280E-01  9.7767350E-01  two
