parameter      mean           sddev          lower1         upper1         limit1 lower2         upper2         limit2 lower3         upper3         limit3 
omegabh2       2.2268878E-02  1.6543622E-04  2.2105790E-02  2.2431460E-02  two    2.1944530E-02  2.2599290E-02  two    2.1831230E-02  2.2700910E-02  two
omegach2       1.1968774E-01  1.5133806E-03  1.1817730E-01  1.2116160E-01  two    1.1672580E-01  1.2266390E-01  two    1.1571290E-01  1.2376550E-01  two
theta          1.0407935E+00  3.2250926E-04  1.0404720E+00  1.0411130E+00  two    1.0401550E+00  1.0414180E+00  two    1.0399490E+00  1.0415960E+00  two
tau            7.3769833E-02  1.7511771E-02  5.6527730E-02  9.1221230E-02  two    3.9281690E-02  1.0828480E-01  two    2.7773110E-02  1.2036460E-01  two
binw1         -1.3053268E+00  5.1126560E-01 -1.8183260E+00 -7.8149570E-01  two   -2.2902950E+00 -3.1320850E-01  two   -2.6350320E+00 -1.0602660E-01  two
binw2         -7.4478419E-01  1.1878341E-01 -8.6500330E-01 -6.2778400E-01  two   -9.7245680E-01 -5.1001260E-01  two   -1.0506540E+00 -4.3307850E-01  two
binw3         -1.3658699E+00  5.3264329E-01 -1.8848420E+00 -8.3657290E-01  two   -2.4065732E+00 -2.9709887E-01  two   -2.8184390E+00 -1.2250100E-01  two
binw4         -3.0428854E+00  1.1771528E+00 -5.0000000E+00 -2.4108850E+00  >     -5.0000000E+00 -1.0490350E+00  >     -5.0000000E+00 -6.3893030E-01  >  
logA           3.0822723E+00  3.3688589E-02  3.0492140E+00  3.1154510E+00  two    3.0151800E+00  3.1483920E+00  two    2.9932970E+00  3.1695910E+00  two
ns             9.6495452E-01  4.8435668E-03  9.6014190E-01  9.6978650E-01  two    9.5571790E-01  9.7456810E-01  two    9.5267430E-01  9.7777750E-01  two
