parameter      mean           sddev          lower1         upper1         limit1 lower2         upper2         limit2 lower3         upper3         limit3 
omegabh2       2.2259572E-02  1.5911662E-04  2.2099910E-02  2.2419480E-02  two    2.1955340E-02  2.2570970E-02  two    2.1852850E-02  2.2666300E-02  two
omegach2       1.1976699E-01  1.4632924E-03  1.1831940E-01  1.2122530E-01  two    1.1691180E-01  1.2261180E-01  two    1.1593930E-01  1.2353650E-01  two
theta          1.0407677E+00  3.2274034E-04  1.0404470E+00  1.0410970E+00  two    1.0401420E+00  1.0414070E+00  two    1.0399550E+00  1.0415990E+00  two
tau            7.3403331E-02  1.7012609E-02  5.6636470E-02  9.0367090E-02  two    3.9428700E-02  1.0655930E-01  two    2.9018990E-02  1.1670880E-01  two
binw1         -1.3969171E+00  5.1513715E-01 -1.9102960E+00 -8.7846840E-01  two   -2.4194340E+00 -3.9515760E-01  two   -2.7655830E+00 -1.4049660E-01  two
binw2         -7.7606297E-01  1.2030355E-01 -8.9589210E-01 -6.5592580E-01  two   -1.0160540E+00 -5.4930640E-01  two   -1.1080030E+00 -4.7964900E-01  two
binw3         -1.2044163E+00  5.2704857E-01 -1.6899118E+00 -6.3914903E-01  two   -2.2085552E+00 -1.6562216E-01  two   -2.5620280E+00  0.0000000E+00  <  
binw4         -3.0758889E+00  1.1888317E+00 -5.0000000E+00 -2.4099610E+00  >     -5.0000000E+00 -1.0725290E+00  >     -5.0000000E+00 -6.4655670E-01  >  
logA           3.0819036E+00  3.3188161E-02  3.0489700E+00  3.1151340E+00  two    3.0167920E+00  3.1465460E+00  two    2.9951380E+00  3.1662230E+00  two
ns             9.6472451E-01  4.7182689E-03  9.6011240E-01  9.6935230E-01  two    9.5550800E-01  9.7409560E-01  two    9.5263970E-01  9.7695080E-01  two
